Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00334751315498717,-9.87060418915648E-05,0.0728750696079386,0,0,0,0.0763799746467642,0.000136808893519471,5.80849768228373E-08,8.69969846699736E-07,8.5772035596069E-05,-1.50211989767202E-06,7.42577430311818E-05,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/base_link.STL,,23099-C90_2_MIR-1;23099-A80_MIR-1;23099-C80_5_MIR-1;23099-C88_8_MIR-1;23099-C81_1_MIR-1;23099-E11_AF0_ASM_2_MIR_ASM-1/23099-C83_1_MIR-1;23099-E11_AF1_ASM_2_MIR_ASM-1/23099-C83_1_MIR-1;23099-E12_AF0_ASM_5_MIR_ASM-1/23099-C83_1_MIR-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link11,0.00439409166664414,0.00911764355638027,0.000448720638245281,0,0,0,0.00138306011958178,7.591177910473E-08,-2.30498293875914E-08,1.05599078653656E-10,5.24695211408071E-08,-1.35459434709014E-10,1.1650585272924E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link11.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link11.STL,,23099-E13_ASM_5_MIR_ASM-1/23099-C89_11_MIR-1,坐标系2,基准轴2,Joint16,revolute,0.0145000000000012,0.0191758453969375,0.0328668299330995,0.0872664625997253,0,0,base_link,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link12,-0.0256445225392524,-0.0850697626962446,-0.00491773050030617,0,0,0,0.136241414927804,0.000699846324507476,2.38934656324275E-05,-2.32164996056177E-05,0.000318301471062501,4.29961899739986E-06,0.000951061019139629,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link12.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link12.STL,,23099-E13_ASM_5_MIR_ASM-1/23099-E08_ASM_3_MIR_ASM-1/23099-A97_4_MIR-1,坐标系3,基准轴3,Joint3,revolute,8.55267492552558E-05,0.0225481366751174,0.00218716640100842,-1.5707963267949,0,1.04719755119662,Link11,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link13,0.0112026062086038,-0.0161887306855046,0.00825007658828168,0,0,0,0.0056338536086512,6.49907544117079E-07,2.38320711503857E-07,-1.0523569483176E-12,6.99212260157111E-07,-2.50526292309768E-12,8.1491843846749E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link13.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link13.STL,,23099-E13_ASM_5_MIR_ASM-1/23099-E07_ASM_3_MIR_ASM-1/23099-A94_4_MIR-1,坐标系4,基准轴4,Joint2,revolute,0.0754452633218026,-0.0430611453900553,-0.01845,0,0,0,Link12,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link14,0.00912321285541223,-0.013287503978651,0.00819738055268498,0,0,0,0.00648842636701499,4.01213852016179E-07,9.23181511174076E-08,7.23041396033579E-12,4.21614363805887E-07,6.24897363279425E-12,4.37132320375489E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link14.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link14.STL,,23099-E13_ASM_5_MIR_ASM-1/23099-E06_ASM_2_MIR_ASM-1/23099-A93_3_MIR-1,坐标系5,基准轴5,Joint1,revolute,0.0260805164596955,-0.0282252790878162,5.23878148150966E-05,0,0,0,Link13,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link21,-2.01623105294813E-08,5.55131685481269E-08,0.00478411936690889,0,0,0,0.000175293795964646,3.20327721135577E-09,1.26388757063363E-15,-1.93517171416749E-15,2.99431954106679E-09,6.23069486982103E-15,9.33099049110965E-10,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link21.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link21.STL,,23099-C82_1_MIR-1,坐标系6,基准轴6,Joint17,revolute,-0.003,0.026,0.1465,-1.5708,0,-1.5708,base_link,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link22,-0.00159297362814294,0.0178803724392812,-9.3663529685227E-06,0,0,0,0.00353148699758135,5.02224381060809E-07,4.81101293488808E-08,-9.35643263635852E-11,2.14662338246824E-07,-1.94484933556271E-10,5.11201216651875E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link22.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link22.STL,,23099-E10_AF0_ASM_2_MIR_ASM-1/23099-E03_ASM_2_MIR_ASM-1/23099-A86_3_MIR-1,坐标系7,基准轴7,Joint6,revolute,0,0,0.0075729,3.1416,-1.5708,0,Link21,0,0,1,3.14,3.14,-3.14,3.14,,,,,,,,
Link23,0.00173036742558064,0.0194038658984875,0.00702018473966805,0,0,0,0.00332671523871181,5.0189723636832E-07,1.80450874860439E-08,3.22142927287787E-10,1.817878902822E-07,-2.52071388015267E-09,4.84122152024226E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link23.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link23.STL,,23099-E10_AF0_ASM_2_MIR_ASM-1/23099-E02_ASM_2_MIR_ASM-1/23099-A85_3_MIR-1,坐标系8,基准轴8,Joint5,revolute,-0.00309877968315736,0.0355000016355182,-0.00710000024679022,0,0,0,Link22,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link24,0.00212344337927151,0.014357762146042,0.00685000145180472,0,0,0,0.004357252587498,2.61726006310356E-07,6.84122199012498E-09,-2.28024729068479E-13,1.60359139736517E-07,-6.67144502136598E-12,2.36034816409947E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link24.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link24.STL,,23099-E10_AF0_ASM_2_MIR_ASM-1/23099-E01_ASM_2_MIR_ASM-1/23099-A83_4_MIR-1,坐标系9,基准轴9,Joint4,revolute,0.000531009916053093,0.0359999999999983,0.000249999999993443,0,0,0,Link23,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link31,0.000868745319009459,0.02098942201628,-0.00599251522941843,0,0,0,0.00412923090315214,8.33731915391634E-07,-2.58792982175749E-08,-5.90400930600074E-11,2.52636997460987E-07,5.97544264415539E-11,8.50994323799685E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link31.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link31.STL,,23099-E11_AF0_ASM_2_MIR_ASM-1/23099-E04_ASM_2_MIR_ASM-1/23099-A89_3_MIR-1,坐标系10,基准轴10,Joint9,revolute,0.004,0.012,0.1465,1.5708,0,3.1416,base_link,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link32,0.0017303674255806,0.0194038658984874,0.00702018473966808,0,0,0,0.00332671523871179,5.01897236368311E-07,1.80450874860398E-08,3.22142927287661E-10,1.81787890282198E-07,-2.52071388015335E-09,4.84122152024216E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link32.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link32.STL,,23099-E11_AF0_ASM_2_MIR_ASM-1/23099-E02_ASM_2_MIR_ASM-1/23099-A85_3_MIR-1,坐标系11,基准轴11,Joint8,revolute,0.00245529051210972,0.0422499999999829,0.00110000000000033,3.14159265358979,0,3.14159265358979,Link31,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link33,0.00212344337927153,0.0143577621460421,0.00685000145180461,0,0,0,0.00435725258749792,2.61726006310346E-07,6.84122199012571E-09,-2.28024728052095E-13,1.60359139736516E-07,-6.67144502736485E-12,2.36034816409936E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link33.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link33.STL,,23099-E11_AF0_ASM_2_MIR_ASM-1/23099-E01_ASM_2_MIR_ASM-1/23099-A83_4_MIR-1,坐标系12,基准轴12,Joint7,revolute,0.000531009916053095,0.0360000000000283,0.000249999999992786,0,0,0,Link32,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link41,-0.000868745319009373,-0.0209894220162799,-0.00599251522941843,0,0,0,0.00412923090315213,8.33731915391625E-07,-2.58792982175735E-08,5.90400930598428E-11,2.52636997460987E-07,-5.97544264408575E-11,8.50994323799675E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link41.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link41.STL,,23099-E11_AF1_ASM_2_MIR_ASM-1/23099-E04_ASM_2_MIR_ASM-1/23099-A89_3_MIR-1,坐标系13,基准轴13,Joint12,revolute,0.004,-0.007,0.1415,-1.5708,0,0,base_link,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link42,0.00173036742558075,0.0194038658984877,0.00702018473966811,0,0,0,0.00332671523871179,5.01897236368297E-07,1.80450874860446E-08,3.22142927287676E-10,1.81787890282199E-07,-2.52071388015208E-09,4.84122152024203E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link42.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link42.STL,,23099-E11_AF1_ASM_2_MIR_ASM-1/23099-E02_ASM_2_MIR_ASM-1/23099-A85_3_MIR-1,坐标系14,基准轴14,Joint11,revolute,-0.00245529051210972,-0.042249999999983,0.00110000000000034,3.14159265358979,0,0,Link41,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link43,0.0021234433792715,0.014357762146042,0.00810000145181125,0,0,0,0.00435725258749801,2.61726006310356E-07,6.84122199012535E-09,-2.28024728921931E-13,1.60359139736517E-07,-6.67144502170664E-12,2.36034816409947E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link43.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link43.STL,,23099-E11_AF1_ASM_2_MIR_ASM-1/23099-E01_ASM_2_MIR_ASM-1/23099-A83_4_MIR-1,坐标系15,基准轴15,Joint10,revolute,0.000531009916054976,0.0360000000000272,-0.00100000000001376,0,0,0,Link42,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link51,-0.00116381680683495,-0.0188154039431175,-0.00599226085858628,0,0,0,0.00365896607296679,5.89185920964713E-07,-2.73715947015778E-08,2.50960643195748E-11,2.19959685125764E-07,-8.60006928609268E-11,6.02016975139215E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link51.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link51.STL,,23099-E12_AF0_ASM_5_MIR_ASM-1/23099-E05_ASM_2_MIR_ASM-1/23099-A90_3_MIR-1,坐标系16,基准轴16,Joint15,revolute,0.00400000000000048,-0.0260000000000003,0.1365,-1.5707963267949,0,0,base_link,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link52,0.00173036742558073,0.0194038658984877,0.00702018473966805,0,0,0,0.00332671523871181,5.01897236368306E-07,1.80450874860468E-08,3.22142927288437E-10,1.81787890282201E-07,-2.52071388015354E-09,4.84122152024212E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link52.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link52.STL,,23099-E12_AF0_ASM_5_MIR_ASM-1/23099-E02_ASM_2_MIR_ASM-1/23099-A85_3_MIR-1,坐标系17,基准轴17,Joint14,revolute,-0.00249695382373872,-0.037249999999983,0.00110000000000034,3.14159265358979,0,0,Link51,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
Link53,0.00212344337927152,0.014357762146042,0.0068500014518047,0,0,0,0.00435725258749798,2.61726006310355E-07,6.84122199012561E-09,-2.28024729055511E-13,1.60359139736516E-07,-6.67144502171971E-12,2.36034816409946E-07,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link53.STL,1,1,1,1,0,0,0,0,0,0,package://zwhand_17dof_right/meshes/Link53.STL,,23099-E12_AF0_ASM_5_MIR_ASM-1/23099-E01_ASM_2_MIR_ASM-1/23099-A83_4_MIR-1,坐标系18,基准轴18,Joint13,revolute,0.000531009916049095,0.0360000000000283,0.00024999999999278,0,0,0,Link52,0,0,-1,3.14,3.14,-3.14,3.14,,,,,,,,
